"","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","kilometer","fuelType","notRepairedDamage"
"1",1600,"test","bus",2004,"manuell",75,150000,"diesel","nein"
"2",11950,"test","limousine",2009,"automatik",177,150000,"diesel","nein"
"3",4399,"test","limousine",2003,"manuell",140,150000,"diesel","nein"
"4",10900,"control","limousine",2009,"manuell",170,150000,"diesel","nein"
"5",3999,"control","limousine",2008,"manuell",75,70000,"benzin","nein"
"6",2000,"control","kleinwagen",2002,"manuell",101,150000,"diesel","nein"
"7",14490,"control","kombi",2010,"manuell",170,150000,"diesel","nein"
"8",10000,"control","kombi",2008,"manuell",270,150000,"diesel","nein"
"9",2200,"test","kleinwagen",2000,"manuell",103,90000,"benzin","nein"
"10",25900,"control","kombi",2015,"automatik",184,30000,"diesel","nein"
"11",22000,"control","cabrio",2011,"manuell",184,60000,"benzin","nein"
"12",14699,"control","kombi",2011,"automatik",143,60000,"diesel","nein"
"13",5650,"control","kleinwagen",2007,"automatik",100,20000,"benzin","nein"
"14",7989,"test","kombi",2004,"automatik",102,80000,"benzin","nein"
"15",10900,"control","limousine",2008,"automatik",197,150000,"diesel","ja"
"16",2500,"control","bus",2005,"manuell",107,150000,"diesel","nein"
"17",15500,"control","limousine",2010,"manuell",325,100000,"benzin","nein"
"18",900,"test","kleinwagen",2001,"manuell",60,150000,"benzin","nein"
"19",130000,"test","coupe",2016,"manuell",385,5000,"benzin","nein"
"20",26650,"test","coupe",2012,"automatik",211,40000,"benzin","nein"
"21",36399,"control","coupe",2015,"automatik",230,20000,"benzin","nein"
"22",4990,"test","limousine",2002,"manuell",150,150000,"diesel","nein"
"23",8888,"control","kombi",2005,"manuell",179,150000,"diesel","nein"
"24",7200,"test","bus",2003,"manuell",174,150000,"diesel","ja"
"25",5900,"control","kleinwagen",2009,"manuell",60,20000,"benzin","nein"
"26",2900,"control","kleinwagen",2006,"manuell",77,70000,"benzin","nein"
"27",14300,"control","cabrio",2006,"automatik",231,80000,"benzin","nein"
"28",5800,"test","kombi",2006,"manuell",224,150000,"diesel","nein"
"29",12567,"test","limousine",2008,"automatik",250,150000,"benzin","nein"
"30",4999,"control","kleinwagen",2007,"automatik",84,80000,"benzin","nein"
"31",6950,"test","cabrio",2002,"automatik",140,150000,"benzin","nein"
"32",2000,"control","kleinwagen",2008,"manuell",75,150000,"benzin","nein"
"33",6290,"control","kombi",2005,"manuell",163,150000,"diesel","nein"
"34",2600,"control","kombi",2003,"automatik",150,150000,"diesel","nein"
"35",1795,"test","kleinwagen",2005,"manuell",65,150000,"benzin","nein"
"36",6999,"control","cabrio",2003,"automatik",170,125000,"benzin","nein"
"37",1450,"control","kleinwagen",2006,"manuell",60,150000,"benzin","nein"
"38",39950,"control","limousine",2016,"automatik",300,5000,"benzin","nein"
"39",19800,"test","suv",2013,"manuell",129,40000,"diesel","nein"
"40",5999,"control","kleinwagen",2009,"manuell",86,125000,"benzin","nein"
"41",6999,"control","kombi",2004,"automatik",218,150000,"benzin","nein"
"42",8500,"test","suv",2006,"manuell",152,150000,"benzin","nein"
"43",999,"test","kleinwagen",2006,"manuell",69,150000,"diesel","nein"
"44",1900,"control","kombi",2004,"automatik",131,150000,"diesel","nein"
"45",15999,"control","limousine",2012,"manuell",182,90000,"benzin","nein"
"46",9950,"test","bus",2006,"manuell",150,150000,"diesel","nein"
"47",5150,"test","kleinwagen",2008,"manuell",90,100000,"benzin","nein"
"48",3850,"test","kleinwagen",2003,"manuell",75,90000,"benzin","nein"
"49",8999,"test","limousine",2011,"automatik",101,30000,"benzin","nein"
"50",14950,"test","limousine",2013,"automatik",105,150000,"diesel","nein"
"51",24000,"control","limousine",2010,"automatik",245,150000,"diesel","nein"
"52",4299,"control","limousine",2003,"manuell",116,150000,"benzin","nein"
"53",16390,"test","suv",2007,"automatik",218,100000,"diesel","nein"
"54",6490,"test","limousine",2005,"manuell",200,150000,"benzin","nein"
"55",12500,"test","suv",2006,"automatik",218,20000,"diesel","nein"
"56",3900,"control","limousine",2001,"manuell",116,150000,"diesel","nein"
"57",19490,"control","suv",2010,"automatik",185,150000,"diesel","nein"
"58",4490,"control","kombi",2005,"manuell",105,150000,"diesel","ja"
"59",4200,"control","kleinwagen",2008,"manuell",71,150000,"benzin","nein"
"60",13999,"test","bus",2006,"automatik",231,150000,"benzin","nein"
"61",750,"test","kombi",2000,"automatik",179,150000,"diesel","ja"
"62",10900,"control","kleinwagen",2014,"manuell",86,40000,"benzin","nein"
"63",3500,"test","limousine",2003,"manuell",116,150000,"benzin","nein"
"64",13400,"control","limousine",2009,"manuell",170,70000,"benzin","nein"
"65",10480,"test","kombi",2011,"manuell",122,80000,"benzin","nein"
"66",10499,"control","limousine",2006,"automatik",272,150000,"diesel","nein"
"67",11999,"test","limousine",2007,"automatik",232,150000,"diesel","nein"
"68",4500,"test","kleinwagen",2005,"manuell",54,125000,"benzin","nein"
"69",33650,"control","kombi",2012,"automatik",218,60000,"diesel","nein"
"70",22000,"control","kombi",2014,"manuell",140,60000,"benzin","nein"
"71",5480,"test","limousine",2006,"manuell",143,150000,"benzin","nein"
"72",3200,"test","kleinwagen",2003,"manuell",54,60000,"benzin","nein"
"73",1250,"test","kleinwagen",2001,"automatik",60,150000,"benzin","nein"
"74",2999,"test","limousine",2004,"manuell",84,80000,"benzin","nein"
"75",4299,"test","kleinwagen",2007,"automatik",71,90000,"benzin","nein"
"76",8999,"test","suv",2003,"manuell",116,60000,"diesel","nein"
"77",6500,"test","kombi",2008,"manuell",170,150000,"diesel","nein"
